ID,Class,Question
555,Home and Kitchen,"I use my current wire blender to mash avocados, bananas, etc. as well as making pie crust dough. Would this pastry blender work for this too?"
556,Electronics,all my pictures are on cd's . how do i transfer them to this device?
557,Video Games,"""Pull the back bar down""?I'm reading the instructions and it says to pull the back bar down, is it supposed to require some force? It feels like I'm going to break it."
558,Automotive,"My stabilizer jacks under my trailer are angled, not parallel nor perpendicular to the trailer nor in a parallel to each other. Okay to install?"
559,Electronics,I purchased and installed this RAM for my D630. NO BOOT! I fear there's a speed mismatch. Must they be the same? New: 800 MHz / Original: 667.
560,Electronics,Can the Samsung 32GB microSDHC Ultra Plus UHS-1 Class 10 be used in the galaxy s 4 smart phone?
561,Cell Phones and Accessories,I will need to remove and replace the case daily. is it easy to do this and is it durable enough to withstand this kind of activity?
562,Electronics,"Acad Intuos 4? Does anyone know what this is? It seems to be a normal Medium sized Intuos 4, yet its $297.00 opposed to $320.00, and says it comes with additional content...So, what is the difference between these two listings?The only 'Acad' I've ever heard of is an art school somewhere...Any help would be greatly appreciated."
563,Electronics,how wet can the radio get?
564,Tools and Home Improvement,dose it charge 315.113753 battery
565,Pet Supplies,"How do I prevent this from sliding around on the floor when the cats try to use it? My cats love this and want to use it, but as soon as they try, it slides around. It doesn't matter what type of floor I put this on, carpet/hardwood/laminate, it slides. Has anyone else encountered this and come up with a solution?"
566,Sports and Outdoors,Is it legal to carry this way?
567,Electronics,Fan cooler recommended for this cpu
568,Automotive,"what does it mean: ""door skins""? Is this the entire half door, with the metal hooks that slide inside the bottom door?"
569,Home and Kitchen,"what is the size? twin,queen or king"
570,Sports and Outdoors,Weight limit
571,Home and Kitchen,Is the screen all wood? One of the lower reviews described the carved portion as paper.
572,Electronics,Does this come with the wire to connect the grip to the camera to be able to use the shutter button?
573,Automotive,Hi. Is it fit in front and rear tires?
574,Toys and Games,Will Hot Wheel cars also fit into this carring case?
575,Patio Lawn and Garden,Has anyone actually had one of these Stens pins do what it is supposed to do and shear when the auger was obstructed?
576,Office Products,"How does this scanner work with Mac computer running SNOW LEOPARD? hello... does anyone know how this scanner works with Mac OS 10.6 Snow Leopard? Also, is it compatible with the built in Mac software, ""Image Capture""? thanks!"
577,Home and Kitchen,how heavy is an end table. Since there is fake marble on top is it top heavy?
578,Home and Kitchen,Is the inside of the pot supposed to be polished? I just received mine and it is not highly polished on the interior like the exterior.
579,Cell Phones and Accessories,"Does this mean the design actually transfers to the iPhone? I like it, but not sure I want it permanent!"
580,Electronics,Does this laptop have a CD-ROM drive so I can install other software?
581,Musical Instruments,Does this work with commercial camcorders like Canon or solely with sony products?
582,Electronics,How many grooves or place slots does it have? It looks like just two.
583,Cell Phones and Accessories,"Does the ""T-Mobile"" logo mean it is locked to that operator? Or is it really unlocked?"
584,Home and Kitchen,we have 65'' flat TV so we can put it on or not
585,Pet Supplies,"Is the cat door see through transparent like glass or opaque, my cat will not go through unless she can see what is behind the door"
586,Electronics,Does this come with Windows 8 Pro - or just the consumer version?
587,Home and Kitchen,How many tablets are in this can?
588,Sports and Outdoors,Is the knife real
589,Toys and Games,What angle should I cut the 4x4's footings to be flush with the ground? how did everyone else to this?
590,Toys and Games,what age group is this masking designed for?
591,Electronics,Does this monitor have built-in speakers?
592,Home and Kitchen,Is this for a large mouth canning jar or regular? The label indicates one size while the heading indicates the other? Thank you!
593,Home and Kitchen,Is this shelf black or dark brown?
594,Electronics,Is this remote able to control multiple AS30 cameras at once or does each camera require one remote?
595,Sports and Outdoors,Can you change incline while riding it?
596,Home and Kitchen,What are the dimensions?
597,Tools and Home Improvement,Are the bulbs repalceable when they burn out? And if so what type does the lamp take
598,Musical Instruments,Will It Fit A Jackson Dinky
599,Electronics,Can you play DVDs on it?
600,Home and Kitchen,Is this product being sold new in closed box or is it open box?
601,Home and Kitchen,what are the feet made of?
602,Electronics,Does this dock plug into a wall outlet? If not how does it supply the Galaxy power to charge..
603,Pet Supplies,How is this oil typically used- sprayed over dry dog food?
604,Patio Lawn and Garden,Do these come with a lifetime warranty like the TV commercials say?
605,Patio Lawn and Garden,"If I were to use a strong bungee cord thru, underneath the roof of this feeder and hang it on my squirrel stopper pole system do you think it will hold and not tip over?"
606,Home and Kitchen,how loud is this unit?
607,Patio Lawn and Garden,I received this hose today. Is it supposed to be black? I've never seen the Pocket Hose in the color black.
608,Home and Kitchen,is this suitable for cleaning your carpets or just small areas
609,Tools and Home Improvement,i can't seem to fill this well with zippo fuel. what am i doing wrong? i got some in but it wouldn't start. i lost the directions so please help me.
610,Office Products,"To clarify, does the cap fit onto the end of the barrel? :) Does anyone know of a keychair ""space"" pen where the cap fits on rear of barrel?"
611,Toys and Games,Howtallisit
612,Sports and Outdoors,Which age group is this for?
613,Toys and Games,So how would you guys rate the figures? Are they sturdy enough to have a child play with them or fragile that they should just not be touched? I
614,Musical Instruments,How do you change the batteries?
615,Patio Lawn and Garden,How much does it weigh?
616,Patio Lawn and Garden,Can we use the glass rocks instead of lava rocks?
617,Electronics,I cant order charger for this camera and I see this kit does not include one or it does?
618,Home and Kitchen,Does the inside pit or scrap off?
619,Home and Kitchen,Why can't we get the knob on the lid?
620,Home and Kitchen,We would be putting this in front of a window....is this self supporting or leaning?
621,Home and Kitchen,is there a matching lid? how much?
622,Tools and Home Improvement,What are the dimensions of this product under sink? Amazing Health says 16.5 x 11.5 x 8.1 but the manufacturer says 8.5 x 5.75.
623,Home and Kitchen,how to stop it from rusting?
624,Electronics,how close to or far from the screen does the projector need to be set?
625,Electronics,Why does the green light on the transmitter continue to blink when in use? Is this nornal or a setup error of some sort?
626,Home and Kitchen,How tall is the mug? I need to know if it will fit in my coffee maker.
627,Electronics,why is there no squelch on a brand new CB I just bought? I have it on another CB. New antenna.
628,Home and Kitchen,Does this fit under under a cabinet or is it too tall?
629,Sports and Outdoors,Do they run true to size?
630,Automotive,Do I need four roof bars (making a square) to attach it or will two do?
631,Automotive,"I'm assuming this will also fit the 2014 Jeep Wrangler, can you confirm?"
632,Electronics,I want this for listening to books on Audible. Is this a good choice for the spoken word as well as music?
633,Electronics,"Has the number of power supply problems lessened? I want to buy an Eee 1005HA-P, but these powersupply issues-- they make me super nervous and I have been reading about them since this laptops release (when was that? June?)-- and since I am still reading them-- new ones appearing every few days-- it makes me very reluctant to buy. However, that aside, I feel that this is among the top Netbooks available.I was going to buy this thing mid-October, but with Win7 coming out and I am kind of certain that Asus will release a comparable model with Win7 and (hopefully) no charger issues, I am wondering if I should hold off.Then again, maybe I should look away from Asus altogether?Clearly, I'd like to avoid buyers remorse if at all possible-- any opinions?"
634,Office Products,"Is this paper suitable for a digital printer, Zerox docucolor 1000 lazer printer?"
635,Electronics,How wide is the padded portion?
636,Electronics,Will a camera size 4.2x2.4x1.4 Fit in this case?
637,Electronics,What is the height of this sound bar?
638,Patio Lawn and Garden,I want to place my raised beds on top of an existing lawn. Do I need to remove the lawn underneath these before filling and planting them?
639,Home and Kitchen,Where is is this made in?
640,Electronics,Does anyone know why Amazon says this won't work with the D7100? I thought any F-mount lens will work on any F-mount camera?
641,Cell Phones and Accessories,Will this cable work with the 5th generation ipod shuffle?
642,Home and Kitchen,Do they have metal decanters to replace the glass ones?
643,Automotive,Is the bumper and winch attached to the frameof the FJ when it is mounted? and is there a good set of instructions? Plan to try it at home. Thanks
644,Patio Lawn and Garden,Will it work on my CharBroil grill?
645,Home and Kitchen,Does the cord tuck away somewhere?
646,Office Products,Are the cards double sided? Are the lines printed on the back?
647,Sports and Outdoors,what size is recomend for 22 ft boat
648,Cell Phones and Accessories,"I bought this cable months ago, and now when I plug it in my laptop and wall adapters won't recognize it. What's the deal?"
649,Home and Kitchen,surface mount or in wall?
650,Home and Kitchen,If I break the glass receiver can I replace it?
651,Home and Kitchen,Can anyone tell me if this is completely flat or does it angle up in the middle. I want to be able to put cups on it and not have them topple over.
652,Sports and Outdoors,Over $75 bucks? When others are offering what looks like the same thing for under $10? What makes this so special?
653,Electronics,"Dubbing from VHS to DVD.. Need help! I have tried dubbing a VHS home movie to DVD but cannot understand how to ""pause"" the VHS tape to not record certain parts, while it is in dubbing mode. Can anyone help? thanks."
654,Tools and Home Improvement,Does this system need separate valves or are they included?
655,Automotive,Does it fit a c6 coupe well
656,Electronics,is the blu-ray logo the same as a original blu-ray case? and are the cases the same color as original blu-ray cases?
657,Patio Lawn and Garden,"How waterproof is this box? I want to store patio cushions, but worry about them getting wet in the rain..."
658,Electronics,TomTom One XL vs Garmin Nuvi 350 I plan to purchase a GPS for my car. I have been considering either a new TomTom One XL or a refurbished Garmin Nuvi 350. The cost is about the same although one is a refurb. Does anyone have a recommendation? It sure would help before spending that much money.
659,Tools and Home Improvement,where can iI get additional rails or longer rails
660,Electronics,memory upgrade crucial part #CT1001597 is the one and amazon #CT25664AC667 is wrong?? I ordered the memory upgrade from amazon Crucial CT25664AC667 and found that thats not listed as compatable with the Asus 1005HA So i ordered the CT1001597 directly from crucial. So Am I on the correct path?? I plan to return the CT25664AC667
661,Office Products,How do you turn the crank with one hand while holding the sharpener in place with the other? Do the two buttons at the top hold the pencil?
662,Cell Phones and Accessories,Can i put my sim card in this phone and use it ??
663,Electronics,[Answered] Does this have a usb port? This youtube video shows one but all the reviews say there isn't one... http://www.youtube.com/watch?v=s8fnTseXuIk. This review also shows a picture of one under the top cover: http://tbreak.com/tech/2012/03/panasonic-sc-hc37-stereo-system-review/
664,Electronics,When will Amazon release the HS20? When will Amazon release the HS20?
665,Electronics,Does it have Microsoft Home Office Student pre-installed?
666,Electronics,"Is this a scam ""5D MarkII for $1600""? Pls take a look. Sometimes,I see list price of a Canon 5D markII with lens for $1900. Is this real or scam? Should I trust these sellor? I have lots of faith on Amazon, am I protected if I buy these items?Thanks for the help.Joe"
667,Pet Supplies,What size should I get for a 10 lb. Chihuahua?
668,Toys and Games,How tall is this toy?
669,Home and Kitchen,What size are thet? Dimensions
670,Electronics,Is it nice and sturdy with a heavy base to prevent tipping? Considering to hold a tablet as POS cash register and don't want it falling.
671,Sports and Outdoors,what all do i need to start reloading 9mm?? do i need to buy 9mm bullet feeders and dies?
672,Cell Phones and Accessories,So is this particular model open to the left or open to the right?
673,Electronics,"Is there a proper lens hood for the FZ70? Because of the extra wide angle (20 mm) of this zoom lens, I am concerned that a general one may vignette."
674,Office Products,My rail will not hold anything. Is there supposed to be something on the inside of the track to hold things? Mine does not have anything inside.
675,Home and Kitchen,"So, is this a set of 3, or a set of 12, as described? Several comments say they got a single package of 3. Seller: Quality Deals."
676,Home and Kitchen,What is the depth?
677,Electronics,Can you plug them up to a Television to use as television speakers?
678,Home and Kitchen,Where are these manufactured?
679,Electronics,Does this unit have a AM tuner?
680,Automotive,Will it fit my 2012 Passat SEL 2.5l?
681,Automotive,"Do you connect one of the wires to the Positive wire and the other on the Negative wire? Please reply, ASAP."
682,Tools and Home Improvement,How much light do they put out. Will they light a pathway.
683,Electronics,Does this Remote Cable work with the new Olympus OMD E-M1?
684,Office Products,"this stamp will automatically advance the count, correct? thanks in advance"
685,Sports and Outdoors,Hi is this the latest nanoray z speed racket like the one on yonex.com?
686,Home and Kitchen,Are the tumblers shrink wrapped together or is each one individually wrapped?
687,Electronics,"Hesistant because it's a no name and I want to buy as a gift I don't want to look like a cheapskate (even though I want to get a steal on a 32"" 720p and this looks like a steal). I'd buy this for me based on the stellar reviews, but am reluctant to gift it. If it were to turn out well, I'd still look cheap years from now when my recipient's guests ask ""It's a TCL? What's a TCL? Oh. This guy thinks a whole lot of you, does he?""I think I just answered my own question...I shouldn't buy this. (Sigh.)Updated Black Friday: y'all convinced me - just ordered it!"
688,Patio Lawn and Garden,How tall is the pot? It would be helpful to see the full dimensions in the item description. Thanks!
689,Pet Supplies,Can I use this in a tank with Sand?
690,Electronics,how is the audio quality?
691,Home and Kitchen,"Hello, I was wondering if this can be used for sitting. I would like to have it in my living room. Any comments on that? Thank you!"
692,Electronics,"Are these good for an indoor set up for movies, music, gaming? Or just outdoor?"
693,Pet Supplies,How much weight can it hold?
694,Electronics,Does your keyboard has a lag or delay after not using for a few minutes?
695,Home and Kitchen,"Does it come with a UV bulb, or do you have to buy that separately?"
696,Electronics,"The stick doesn't interest me, I only want the best player I can get in this price range to perfectly play DVDs & BDs. Is this it?"
697,Cell Phones and Accessories,Will it permit application of a glass screen protector?
698,Electronics,Is the tripod mounting ring included in the lens box? It's not specifically mentioned
699,Sports and Outdoors,Is this durable to sleep on every night?
700,Pet Supplies,How many cats would comfortably stay in this funhouse at one time? I own 3 cats....
701,Electronics,"Scratched outer lens on Panasonic Lumix DMC-FZ35 On our ski trip recently, my dear hubby forgot to use the lens cover and put the camera in our ski backpack along with other stuffs, and voila.. the outer lens got some scratches. Where can I buy the replacement? can I replace it myself or do I have to go to a specialty store? how much is it?Please help.thanks."
702,Sports and Outdoors,this old bulb has FLS/E 9W 6400K stamped on it. Old lantern no serial number on it. Will this bulb fir?
703,Tools and Home Improvement,Can I use it for vehicle instead of the air impact tool? Like changing tires or shocks/struts
704,Cell Phones and Accessories,"Can this phone work with T-mobile 30$ unlimited text, data and 100 minutes from T-mobile?"
705,Automotive,Will this K&N 77-1560KTK Performance Intake Kit fit on a 2014 Jeep Grand Cherokee Limited-V6 MODEL
706,Automotive,How many of these would i need to do all 4 doors on a 2013 durango and a 2014 Ram?
707,Home and Kitchen,Does it fit under a Keurig coffee maker?
708,Home and Kitchen,How deep is the 8x4 good cook loaf pan?
709,Cell Phones and Accessories,How is the phone held in the cover? Do I have to remove the original S4 back (like you do if you get the Samsung Brand Flip Cover) to put it in this cover?
710,Sports and Outdoors,Does this set come with boundary lines indicating in or out of bounds?
711,Electronics,I have the Hero 3 + but I got the extended battery pack and it came with a case that is large enough to fit the battery pack. Will this filter work?
712,Clothing Shoes and Jewelry,Does this have similar sizing to regular T-shirts?
713,Tools and Home Improvement,Will this bulb be a replacement for the Lucel E2C 65 watt bulb:
714,Electronics,whats sounds better mm6501 or JLC2s
715,Video Games,"My XBOX 360 drive is the DG-16D2S-09C and does not work, if I order the same model, I just have to switch it and my XBOX will work without any problem"
716,Sports and Outdoors,Is this a freewheel hub or does it have a coaster brake?
717,Patio Lawn and Garden,is this useful for growing bonsai and is it remotely cat proof
718,Sports and Outdoors,Will a Leatherman New Wave fit in the sheath's extra pocket?
719,Toys and Games,why it does not say the size?
720,Home and Kitchen,Does the handle get hot?
721,Sports and Outdoors,how to light it? pressing red lever allows gas to enter and ignite with match but goes out when releasing red button
722,Tools and Home Improvement,"Does this just switch on/off, or does it have dimming capabilities?"
723,Home and Kitchen,What is the Diameter across the bowl? I want a bowl which turns out a tortilla big enough for a dinner size salad. Thanks
724,Tools and Home Improvement,Are they reversible? Sharpened on both sides?
725,Electronics,The picture - one of them has a 6 outlet. Is it just the picture or is it indeed a 7 plug point?
726,Sports and Outdoors,"Does the illumination have to be on to see the reticule?.... i.e. if the batter is dead or I don't want to turn on the illumination, what do i see?"
727,Tools and Home Improvement,"I need to know what the ""Best"" table to use this lift with- please give me some help!!"
728,Electronics,this can hold a 600mm 4lb lens??
729,Electronics,Does this unit has a power adapter ranging from 120-240 Volts or only 120V?
730,Electronics,Anyone know how to fix a broken touch screen on nuvi 650? 2 yr old nuvi 650 touchscreen stopped responding (display still works). Any ideas?
731,Electronics,"Will this fit correctly on a Galaxy Tab 2 10.1"" model P5113? The camera area looks like it may not be in the correct spot for my model."
732,Home and Kitchen,"Is the door front mirror in a frame or not, if so what color and finish is the frame? Thank you"
733,Automotive,How hard is it to wire in the wiring harness
734,Video Games,is the screen backlit? In other words will I be able to play the games in a dark room?
735,Electronics,Does it include the KVM cables? I didn't see it in the description.
736,Electronics,Can this be used with the iPad air 2? And does it have a spot where the camera can be used in the back?
737,Automotive,"Some buyers claim the remote pendant is included with this item, others state the pendant must be ordered separately. Which is correct?"
738,Patio Lawn and Garden,Is this birdhouse effective at deterring house sparrows?
739,Grocery and Gourmet Food,Is this product gluten-free??
740,Cell Phones and Accessories,I have a Samsung galaxy tab 3 7in will this fit
741,Automotive,"hi, i want to know if this would fit on my 2000 blazer lt 4x4? thanks"
742,Electronics,This or wait for TF700? I ordered the tf300 a few days ago(non 3rd party) and it should come in tomorrow. But now I've been reading up on the TF700 and might want that.Every article or blog post I've read they have been using the 64GB TF700 and every single one say the ESRP for that one is $599. Does this mean the 32GB TF700 is going to be $499? Looking at the launch price of the TF201 64GB it was $599 and 32GB is $499. I'm willing to spend $100 more for the better screen and slightly better clocked Tegra 3. So should I wait or just keep the TF300 when it comes in tomorrow?Will I have to pay a restocking fee if I want to open it and try it out for a few days to see if I even like it?
743,Electronics,"Can I hook this model with an older analog TV, which has no HMDI ports? How?"
744,Electronics,what 3d glasses you got for this tv?
745,Automotive,"The quantity in the description shows (2) for quantity, the order shows (1) so what is it? I need (2) struts one for each side for a 2007 escalade"
746,Video Games,"I ordered these assuming they were identical to the Xbox One controller analog sticks, however they are not. Are these still good/reliable?"
747,Home and Kitchen,Do these come with lids?
748,Musical Instruments,Will this case fit on a Fender Starcaster Strat Electric Guitar?
749,Electronics,"The Q&A says it comes with USB cable (??), so then I don't need to order one separately? Thanks."
750,Musical Instruments,How many computers may I install my reason into? We have three different computers my studio And we need this product in all three Is that going to be possible
751,Cell Phones and Accessories,Can you use this case without the snap on screen protector? I already have a good screen protector on my Note 2.
752,Electronics,"Samsung LNT4661F VS LNT4665F Okay, just checking, looking for a new lcd for the house, down to the 2 models... looked at other sharp aquos and I think the Samsung is the winner. The thing is either the LNT4661F or the LNT4665F. What I plan on doing is playing games on it alot also. Ps3 with blue ray, xbox 360, and my wii. Which would be best? I read the 65 has a 10bit processor vs the 61f which has 8..."
753,Patio Lawn and Garden,Does this table fit the 26.75 grill?
754,Patio Lawn and Garden,"Is this mower self-propelled? I am a woman in my 60's with some back problems and a slope to my yard. If this one is too heavy, is there a GreenWorks equivalent that is lighter and just as good?"
755,Tools and Home Improvement,Has anyone installed a garbage disposal with the Stages 45? Is there enough clearance below the sink to accommodate one?
756,Home and Kitchen,How long does it take the West Bend 6111 Heart Smart Indoor Grill to heat up to be ready for grilling?
757,Home and Kitchen,"Wall studs = 3 1/2"" deep, this cabinet = 7"" deep. Does it go deeper than 3 1/2"" so the back of the wall has to be cut out too?"
758,Tools and Home Improvement,I need the drawings for this sink and its installation for my cabinet maker. Where can I find them?
759,Electronics,"Olympus E-510 vs. Canon XSi I am looking for opinions on the Olympus E-510 vs. Canon XSi.When looking at the features of the Olympus E-510 vs. the XSi it is quite interesting as the E-510 has many similar features like: live view, dust removal, image stabilization. A couple of main differences are price, the E-510 is around $650 with two lens and the XSi will be approx $900 with one lens. Also the E-510 has 10MP vs XSi 12MP.Any thoughts or opinions out there? Especially from any E-510 owners?"
760,Home and Kitchen,"Egg Genie Measuring Cup I got one of these on clearance, and later realized it's because the measuring cup is missing. Does anyone have any idea what the equivalents are to the lines on the cup that comes with it? Thanks!"
761,Toys and Games,Why won't the up and down button not work. And we just got it yesterday
762,Home and Kitchen,"How do you get them out of the pan after baking, without breaking them?"
763,Electronics,"Glossy Screen: Is it really that bad I'm at a crossroads between the 69FX and the 71F. Other than the contrast ratios the biggest concern is the matte and glossy finishes. I was leaning towards the 71, but is the screen really that bad?"
764,Office Products,"Is this model the same as the 7520 Wireless Photo Printer with scanner, copier and Fax? The photos of this e-all-in-one model do not match each other"
765,Tools and Home Improvement,How tall is it? How long is the spout?
766,Home and Kitchen,Has non-stick coating come off?
767,Home and Kitchen,How is it attached to the table or counter?
768,Home and Kitchen,How long is the cord?
769,Automotive,size of clock
770,Office Products,Is there an expiration date on this package or cartridge?
771,Sports and Outdoors,Can you selectively listen to the television and mute your nagging wife?
772,Home and Kitchen,I wonder if this would make a good over-the-bed piece for a queen size bed.
773,Home and Kitchen,"can this board be used on both sides? For example, one side with the grooves for meat, and the other for veggies/pastry?"
774,Home and Kitchen,"What is the actual height, width and depth of the rack? I want to use it to store sheets that are 20X26. With this work for me?"
775,Cell Phones and Accessories,"Are the edges of this screen protector curved?If they aren't curved, is it annoying when pulling down your notification bar?"
776,Home and Kitchen,Does this have a stainless steel spigot outside and is it also metal on the inside? Thanks.
777,Home and Kitchen,Does the MC1375 require distilled water?
778,Toys and Games,Does the box or papers say 2013? I want a Barbie from 2013 for my granddaughter. Thank you
779,Electronics,does mouse and keyboard have on and off switch??
780,Pet Supplies,"Just received this & it has a noticeable vinegar or sour smell to it, more so than mint. I'm wondering if I have a bad batch or if that's normal?"
781,Home and Kitchen,Does this fit a full bed as well as a queen bed i have a full bed.
782,Toys and Games,"Why is there such a disparity in price between this lazertag set and the $50 one from Hasbro? I am looking for a lazertag for my 11 year old son and I was wondering why one is $196 vs $50. They each have 2 guns, etc. Is one better for younger and the other is for anyone?"
783,Home and Kitchen,Can you wash this in a washing machine? (I have the clear version.)
784,Cell Phones and Accessories,"My phone slipped into ""vibrate only."" How do I get the ringing back? Where may I download the User Manual?"
785,Electronics,"How far from the wall does the screen hang? (I have a mirror on the wall thats 2 inches thick, the screen would have to be pulled down over it.)"
786,Grocery and Gourmet Food,4 Pounds is a great deal but a lot of Chia. I see reridgeration is recommended. What is the shelf life for an unopened bag?
787,Electronics,Compatible with Sony a6000 ? Adapter needed ?
788,Sports and Outdoors,Will this holster accommodate carrying a 1911 in the cocked position without modifying the holster?
789,Patio Lawn and Garden,"How much water is necessary to activate it? I'd like it to pump down to 1/4"" of standing water or less."
790,Patio Lawn and Garden,"We have a Cub cadet 2X 524 SWE 24 in. My husband is 6'5"". Will this fit our snowblower and will he be able to stand straight with this cab cover?"
791,Pet Supplies,What is the clear part made of plastic or glass?
792,Sports and Outdoors,There is a date on the bottom is that the expiration date or the manufacture date?
793,Electronics,"I would like to know what the highest pole anyone has inserted into this thing, I am assuming most are doing 6-10ft? I would like to go 15-20 feet?"
794,Cell Phones and Accessories,How is clarity affected?
795,Electronics,Tivax Hi Rez 7 TV How do I get the external dock so I can use this TV with Alkaline batteries ?I live in a storm zone.Sometimes my power goes off for more than day so I couldn't recharge the built in batteries .
796,Electronics,how does it attach?
797,Grocery and Gourmet Food,"Can you brew in your drip coffeemaker (alone, or mixed with coffee)?"
798,Electronics,"They canceled me! I'm so disappointed! I thought I got a great deal when I ordered this camera (black LX3K) for $399.99 from Amazon. I was willing to wait the ""1 to 2 months"" for such a great camera at an awesome price. Today they canceled my order! They said they couldn't acquire any. So what happens if they find some later? I'm just feeling really let down right now... But now I see the silver version (LX3S) is still taking orders for $405, also with the ""1 to 2 months"" wait time. Really love the black, but I ordered the silver anyway to see what happens...."
799,Cell Phones and Accessories,Does this work with Nexus 7 2013?
800,Home and Kitchen,what kind of wood or material is the frame made of? is it just particle board or imitation that will break easily?
801,Pet Supplies,Will it stop my cat from incessantly crying all day and night?
802,Patio Lawn and Garden,I have a bottle that is a few years old. I don't see an experation date anywhere on the bottle. Does plant food in general have an expiration? TY
803,Electronics,Is this really a night vision camera system. Mine not picking up any images at night. Do I have to do any adjustments to get night vision?
804,Tools and Home Improvement,Does it take a 3 way bulb?
805,Office Products,Will this AmazonBasics laminator work with other brand laminating pouches? Has anyone tried this for example with the smaller Scotch brand pouches?
806,Home and Kitchen,"Does the base have edges around so that it catches water? if so how deep (high) are they? Or does it have a ""ramp"" where it drains into a sink?"
807,Home and Kitchen,Does this mill grind poppy seeds?
808,Home and Kitchen,Of what material is the lid made?
809,Cell Phones and Accessories,Is the port for the earphones accessible?
810,Cell Phones and Accessories,Will this work with the blackberry bold 9930?
811,Video Games,"If I buy this game, do I get a code to redeem on Uplay and download from there, or do I have to download this from Amazon server? I want to give this to a friend of mine and I don't want him to know I get this from Amazon."
812,Home and Kitchen,Do the kids screw on? If I were to put unfrozen yogurt in them and put them in my child's lunch how secure would the lid be?
813,Musical Instruments,What is the bout measurement?
814,Cell Phones and Accessories,Would an iPhone 4 fit in this case?
815,Electronics,what cpu can it use?
816,Home and Kitchen,what type of bags (brand? size?) is best to use in this compactor?
817,Home and Kitchen,What are the temps that both zones run at--are they the same or is one set for reds and other for whites?
818,Patio Lawn and Garden,I don't get it? Do you just turn it over and it becomes a pot? (I feel dumb even asking!)
819,Pet Supplies,"Does this work on clothing? I have 2 cats and hair on all my slacks and my wool coat, nothing really seems to work!"
820,Grocery and Gourmet Food,Does it contain sugar?
821,Home and Kitchen,"Is coffee it makes strong enough? Are there any deference when you using ""bold"" model? Just wondering a scoop or a keurig with reusable filter."
822,Tools and Home Improvement,What is the RPM? Can you vary the speed?
823,Office Products,"When will it ship? What's the deal with this printer? I preordered it a month ago and it was supposed to ship when released (the 20th). It is still marked ""not shipped."" and it is the evening of the 21st. No other stores have it in stock, so I have to guess that Amazon doesn't actually have any of these ready to ship."
824,Home and Kitchen,Just want to confirm that this is a round-bottom wok (no flat spot in the bottom at all). Thanks.
825,Sports and Outdoors,How durable is this? I need something that I can leave out in the woods for several weeks.
826,Pet Supplies,Can it go in a washing machine?
827,Office Products,Does this phone need to be the only one in the house - will it work with other landline phones plugged in their respective plugs?
828,Home and Kitchen,I live at 8500'. Gone thru Keurig and Kitchen Aid & they didn't work. Will this pot work and stay hot at this elevation?
829,Pet Supplies,"Dimensions say 8x8x8, but reviews reference a tennis-ball-like size. Which is this?"
830,Home and Kitchen,Is this one really pre-seasoned? L27C3 Doesn't say so at product description
831,Cell Phones and Accessories,"Sorry to be dumb here, but how do you get your phone inside of it? Does it pop apart somehow? There are no instructions."
832,Patio Lawn and Garden,"So when I click on the small icon of the white planter, a picture of what looks like a grey planter pops up ... ??"
833,Musical Instruments,Is there a zipper for the main (saxophone) compartment? Product description only says that it has a velcro closure. thanx.
834,Musical Instruments,does it come with power cord ? and a Manuel ?
835,Electronics,how is this camera for low light (soccer game)
836,Grocery and Gourmet Food,Is this the old style 8 oz. box with individually wrapped one-ounce squares?
837,Electronics,"Does is have a zipper closer, or just the buckle closer for the biggest compartment. I can see the zipper for the small out side area."
838,Automotive,"MB owner, synthetic oil: some reviews indicate the unit is not compatible with synthetic oils? Has the unit been upgraded/problem solved?"
839,Sports and Outdoors,"I am having trouble getting my Trophy Ridge to hit the target @ 20 yds, shooting extremely low and I have maxed out the adjustment getting the arrow on target to raise only slightly. Any suggestions?"
840,Electronics,how do you charge
841,Electronics,Is this item in the original packaging. Is this package opened or not? Do you have some photos of the computer?
842,Toys and Games,"What construction material, what size (450mm is implied) and most importantly, how much does this weigh (in grams)"
843,Home and Kitchen,Is the straw diameter enough to accomodate smoothies? Or would a thick smoothie get stuck?
844,Electronics,Is there a mouse pull out table on the left side?
845,Home and Kitchen,How are you able to get the ice molded into that shape?
846,Automotive,Are these true HID bulbs requiring an Igniter/ Ballast?
847,Electronics,Best Walk around lens for 7D ??? I need some advice. I just purchased a Canon 7D camera and am looking for one good walk around lens for it. I'm highly considering Canon EF 24-105mm f/4L IS USM lens.Is this a good choice ??Any other recommendations??Any input will be appreciated.Thanks
848,Patio Lawn and Garden,Organic Version Anyone else think Amazon should also carry the organic version of the Earthbox?
849,Electronics,this supports r9 270x or gtx760?
850,Home and Kitchen,what are the dimensions?
851,Sports and Outdoors,Will this work for the model without the factory laser?
852,Electronics,Ship Date? March 27th?
853,Pet Supplies,Could this liniment be used on humans. I have a lot
854,Sports and Outdoors,"I weigh 190, with my bow and gear do you think it will still work?"
855,Electronics,"I bought this and am moving data to it now. I can hear it from inside my desktop, is this normal? It's on it's side in the case, should I change it?"
856,Tools and Home Improvement,Can you mount to iron fence
857,Home and Kitchen,I can't tell from the picture. Does the plastic completely cover the top of the rod and bag to keep dust from getting inside from the top?
858,Cell Phones and Accessories,The pics dont show the top of the case. Is it open so that you can easily plug in headphones?
859,Home and Kitchen,what are the measurements of the letters?
860,Home and Kitchen,what are the inside storage measurements. want to store vinyl records
